City,Country,Place to Visit,Emotion 1,Emotion 2,Emotion 3,Emotion 4,Emotion 5,Lat,Lon,Expense/Day,Description,Image
Paris,France,Eiffel Tower,Happy,Proud,Surprised,Peaceful,In Awe,48.8584,2.2945,120,"Paris, the City of Lights, enchants with iconic landmarks like the Eiffel Tower, art-filled museums, and charming streets. Dive into its world-class cuisine, romance, and unforgettable ambiance along the Seine River.",https://images.unsplash.com/photo-1492136344046-866c85e0bf04?q=80&w=2064&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
New York,USA,Central Park,Serene,Wanderlust,Hopeful,Neutral,Grateful,40.7851,-73.9683,100,"New York City pulses with life, offering iconic sights like Times Square, Central Park, and the Statue of Liberty. Discover endless energy, world-class dining, and vibrant neighborhoods in the city that never sleeps.",https://media.cntraveler.com/photos/58d5450f9033b024213c8e8e/master/pass/GettyImages-125756141.jpg?mbid=social_retweet
Tokyo,Japan,Shibuya Crossing,Excited,Confident,Nervous,Adventurous,Curious,35.6595,139.7004,90,"Tokyo is a dazzling fusion of tradition and innovation, where ancient temples coexist with futuristic skyscrapers",https://images.unsplash.com/photo-1569272955451-820d57840fcd?q=80&w=1984&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Venice,Italy,Grand Canal,Peaceful,Romantic,Happy,Relieved,Inspired,45.4408,12.3155,130,"Venice, the enchanting city of canals, captivates with its romantic gondola rides and stunning architecture.",https://plus.unsplash.com/premium_photo-1661964022501-12cce254e8cb?q=80&w=1932&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Rome,Italy,Colosseum,Neutral,Proud,Historic,Excited,Jealous,41.8902,12.4922,110,"Rome, the Eternal City, boasts a rich tapestry of history, from the majestic Colosseum to the stunning Vatican",https://plus.unsplash.com/premium_photo-1661963265512-73e8d1053b9a?q=80&w=2055&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Kyoto,Japan,Fushimi Inari Shrine,Curious,Peaceful,Nostalgic,Hopeful,Culturally Connected,34.9671,135.7727,85,"Kyoto, a serene city steeped in tradition, dazzles with its stunning temples, tranquil gardens, and historic tea houses.",https://images.unsplash.com/photo-1632923754832-60642c12a7ed?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Cape Town,South Africa,Table Mountain,Hopeful,Adventurous,Proud,Confident,Wanderlust,-33.9628,18.4098,70,"Cape Town, South Africa, is known for its stunning Table Mountain, vibrant cultural scene, and beautiful beaches.",https://plus.unsplash.com/premium_photo-1697730061063-ad499e343f26?q=80&w=1932&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Rio de Janeiro,Brazil,Christ the Redeemer,In Awe,Grateful,Proud,Happy,Thrilled,-22.9519,-43.2105,80,"Rio de Janeiro, Brazil, is famous for its Copacabana beach, Sugarloaf Mountain, and the annual Carnival festival.",https://plus.unsplash.com/premium_photo-1671211307997-f4f552b0601c?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Santorini,Greece,Oia Sunset,Fearful,Happy,Romantic,Surprised,Serene,36.4618,25.3758,150,"Santorini, a Greek island, is known for its whitewashed buildings with blue domes, stunning sunsets, and volcanic beaches.",https://plus.unsplash.com/premium_photo-1661963643348-e95c6387ee8a?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
New Delhi,India,India Gate,Jealous,Hopeful,Confident,Neutral,Proud,28.6129,77.2295,60,"New Delhi, India’s capital, combines historic sites like the Red Fort with bustling markets and modern infrastructure.",https://images.unsplash.com/photo-1705861146215-893c716481e7?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Sydney,Australia,Sydney Opera House,Surprised,Grateful,Confident,Proud,Excited,-33.8568,151.2153,140,"Sydney, Australia, is known for its Opera House, Harbour Bridge, beautiful beaches, and vibrant culture.",https://images.unsplash.com/photo-1711525515144-2bee3b742c49?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Cairo,Egypt,Pyramids of Giza,Disgusted,Neutral,Jealous,Fearful,Historic,29.9792,31.1342,40,"Cairo, the capital of Egypt, is home to the ancient pyramids, the Sphinx, and a rich Islamic heritage.",https://plus.unsplash.com/premium_photo-1661920294279-9c3b2a430e5c?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Berlin,Germany,Brandenburg Gate,Neutral,Confident,Hopeful,Culturally Connected,Peaceful,52.5163,13.3777,95,"Berlin, Germany’s capital, is famous for its history, vibrant arts scene, Berlin Wall, and Brandenburg Gate.",https://plus.unsplash.com/premium_photo-1661962435210-e6cdbb2cbeb4?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Machu Picchu,Peru,Machu Picchu,Sad,Neutral,Proud,In Awe,Adventurous,-13.1631,-72.545,70,"Machu Picchu, an ancient Incan city in Peru, is renowned for its breathtaking views and historical significance.",https://images.unsplash.com/photo-1594902264738-cd71984868b0?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Bangkok,Thailand,Wat Arun,Nervous,Excited,Hopeful,Happy,Curious,13.7436,100.4889,45,"Bangkok, Thailand's capital, is known for its vibrant street life, ornate temples, and grand palaces.",https://plus.unsplash.com/premium_photo-1661963188068-1bac46e28727?q=80&w=2071&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Barcelona,Spain,Park Güell,Angry,Excited,Hopeful,Happy,Proud,41.4145,2.1527,105,"Barcelona, Spain, is famous for its architecture by Antoni Gaudí, including the Sagrada Família, and its Mediterranean beaches.",https://plus.unsplash.com/premium_photo-1689370875678-804d07de959f?q=80&w=1887&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Dubai,UAE,Burj Khalifa,Relieved,Proud,Confident,In Awe,Thrilled,25.1972,55.2744,200,"Dubai, UAE, is known for its ultramodern skyscrapers, luxury shopping, and attractions like the Burj Khalifa.",https://images.unsplash.com/photo-1518684079-3c830dcef090?q=80&w=1887&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Bora Bora,French Polynesia,Matira Beach,Bored,Peaceful,Serene,Romantic,Happy,-16.5004,-151.7415,250,"Bora Bora, a tropical paradise in French Polynesia, is known for its turquoise waters, coral reefs, and overwater bungalows.",https://images.unsplash.com/photo-1532408840957-031d8034aeef?q=80&w=1932&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Agra,India,Taj Mahal,Proud,Peaceful,Grateful,In Awe,Excited,27.1751,78.0421,50,"Agra, India, is home to the Taj Mahal, one of the Seven Wonders of the World, and a UNESCO World Heritage site.",https://plus.unsplash.com/premium_photo-1697730359975-8f1885936530?q=80&w=1887&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Jaipur,India,Hawa Mahal,Excited,Hopeful,Happy,Proud,Curious,26.9239,75.8267,40,"Jaipur, India’s Pink City, is known for its historic forts, palaces, and vibrant bazaars.",https://plus.unsplash.com/premium_photo-1661963054563-ce928e477ff3?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mumbai,India,Marine Drive,Happy,Peaceful,Hopeful,Nostalgic,Excited,18.9439,72.8234,60,"Mumbai, India’s financial capital, is famous for Bollywood, bustling markets, and the iconic Gateway of India.",https://images.unsplash.com/photo-1660145416818-b9a2b1a1f193?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Bangalore,India,Lalbagh Botanical Garden,Peaceful,Hopeful,Serene,Inspired,Grateful,12.9507,77.5848,45,"Bangalore, India’s Silicon Valley, is known for its IT industry, pleasant weather, and vibrant nightlife.",https://plus.unsplash.com/premium_photo-1677861403044-e13284c44cf2?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Chennai,India,Marina Beach,Peaceful,Happy,In Awe,Nostalgic,Excited,13.0474,80.2822,30,"Chennai, India, is known for its cultural heritage, temples, and the Marina Beach, one of the longest urban beaches.",https://images.unsplash.com/photo-1724992609085-04e76ba15f6a?q=80&w=1895&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Hyderabad,India,Charminar,Neutral,Hopeful,Proud,Jealous,Culturally Connected,17.3616,78.4747,35,"Hyderabad, India, is famous for its rich history, Charminar monument, and biryani cuisine.",https://images.unsplash.com/photo-1612972099619-9b328dee5803?q=80&w=1930&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Varanasi,India,Ghats of Varanasi,Hopeful,Historic,Proud,Peaceful,Confident,25.3086,83.0092,25,"Varanasi, India’s spiritual city, is known for its ghats along the Ganges River and sacred Hindu rituals.",https://plus.unsplash.com/premium_photo-1697729634472-bb82561ef296?q=80&w=1887&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Kolkata,India,Victoria Memorial,Neutral,Serene,Happy,Proud,Grateful,22.5448,88.3426,50,"Kolkata, India, is known for its colonial architecture, cultural festivals, and historic Howrah Bridge.",https://plus.unsplash.com/premium_photo-1697730414399-3d4d9ada98bd?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Pune,India,Aga Khan Palace,Hopeful,Peaceful,Happy,Neutral,Inspired,18.5522,73.9013,40,"Pune, India, is famous for its educational institutions, pleasant weather, and rich Maratha history.",https://plus.unsplash.com/premium_photo-1687747459153-21f0eabfcbdd?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Amritsar,India,Golden Temple,Relieved,Hopeful,Proud,Peaceful,Culturally Connected,31.6199,74.8765,55,"Amritsar, India, is home to the Golden Temple, a spiritual site for Sikhs and known for its cultural heritage.",https://plus.unsplash.com/premium_photo-1697730324062-c012bc98eb13?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Goa,India,Baga Beach,Excited,Happy,Peaceful,Restless,Hopeful,15.5527,73.7557,70,"Goa, India’s beach paradise, is famous for its golden sand beaches, nightlife, and Portuguese-influenced architecture.",https://plus.unsplash.com/premium_photo-1697729701846-e34563b06d47?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Shimla,India,The Ridge,Proud,Peaceful,Hopeful,Happy,Serene,31.1048,77.1734,60,"Shimla, India, is a scenic hill station known for its colonial architecture, cool climate, and views of the Himalayas.",https://images.unsplash.com/photo-1695581263294-5fc40303e955?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Rishikesh,India,Lakshman Jhula,Excited,Hopeful,Nervous,Peaceful,Confident,30.1267,78.325,35,"Rishikesh, India, is a yoga and adventure capital located on the banks of the Ganges River in the Himalayas.",https://images.unsplash.com/photo-1713340546638-5e30e2b7b1fe?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Darjeeling,India,Tiger Hill,Hopeful,Happy,Peaceful,Surprised,In Awe,27.0327,88.2636,45,"Darjeeling, India, is known for its tea gardens, scenic Himalayan views, and the UNESCO-listed toy train.",https://plus.unsplash.com/premium_photo-1697730303782-6679b6bec202?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mysore,India,Mysore Palace,Confident,Proud,Happy,Neutral,Hopeful,12.3052,76.6551,35,"Mysore, India, is known for its royal heritage, magnificent palaces, and the famous Dussehra festival.",https://plus.unsplash.com/premium_photo-1697730494992-7d5a0c46ea52?q=80&w=2071&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Jodhpur,India,Mehrangarh Fort,Jealous,Proud,Neutral,Happy,Inspired,26.2978,73.0185,40,"Jodhpur, India’s Blue City, is famous for its blue houses, Mehrangarh Fort, and vibrant markets.",https://plus.unsplash.com/premium_photo-1661904165347-369200d4bf72?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Kochi,India,Fort Kochi,Peaceful,Inspired,Happy,Hopeful,Excited,9.9657,76.2429,30,"Kochi, India, is a port city known for its backwaters, historical sites, and blend of various cultures.",https://plus.unsplash.com/premium_photo-1697730433023-c5fcff0506ee?q=80&w=2071&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Udaipur,India,City Palace,Surprised,Proud,Hopeful,Happy,Historic,24.5761,73.6835,50,"Udaipur, India’s City of Lakes, is known for its palaces, romantic boat rides, and stunning sunsets.",https://plus.unsplash.com/premium_photo-1697730426227-9056296a0315?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Bhopal,India,Sanchi Stupa,Neutral,Serene,Hopeful,Proud,Happy,23.4794,77.7397,30,"Bhopal, India, is known for its lakes, mosques, and the tragic legacy of the Bhopal gas disaster.",https://plus.unsplash.com/premium_photo-1661925018295-c4a5a3988250?q=80&w=1887&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Ahmedabad,India,Sabarmati Ashram,Peaceful,Hopeful,Nostalgic,Happy,Neutral,23.0314,72.58,40,"Ahmedabad, India, is a vibrant city with rich heritage sites and is home to Mahatma Gandhi's Sabarmati Ashram.",https://images.unsplash.com/photo-1708172143432-7e31edcfa941?q=80&w=1935&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Leh,India,Pangong Lake,Excited,Hopeful,Proud,Happy,Adventurous,33.7225,78.4744,100,"Leh, India, is a high-altitude town in Ladakh, known for its Buddhist monasteries and stunning landscapes.",https://images.unsplash.com/photo-1663407978077-ca116e36abf0?q=80&w=1887&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Chandigarh,India,Rock Garden,Nervous,Excited,Hopeful,Peaceful,Curious,30.7525,76.8101,40,"Chandigarh, India, is a modern, planned city known for its architecture and urban design by Le Corbusier.",
Shillong,India,Elephant Falls,Happy,Excited,Peaceful,Hopeful,Surprised,25.5379,91.8702,20,"Shillong, India, is known as the Scotland of the East, famous for its waterfalls, mountains, and music scene.",
Manali,India,Solang Valley,Excited,Hopeful,Adventurous,Peaceful,Confident,32.3198,77.1574,50,"Manali, India, is a popular hill station known for its adventure activities and scenic beauty in the Himalayas.",https://images.unsplash.com/photo-1609233365844-5f63f3bf1a12?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Ooty,India,Doddabetta Peak,Peaceful,Hopeful,In Awe,Happy,Excited,11.407,76.7337,30,"Ooty, India, is a hill station known for its cool climate, beautiful tea gardens, and the Nilgiri Mountain Railway.",
Paris,France,Louvre Museum,Neutral,Proud,Jealous,Happy,Historic,48.8606,2.3376,150,"Paris, the capital of France, is known for its iconic Eiffel Tower, rich art, fashion, and culture, and is often called the City of Lights.",
London,UK,Tower Bridge,Proud,Happy,Hopeful,Neutral,Excited,51.5055,-0.0754,180,"London, UK, is known for its rich history, landmarks like Big Ben, the British Museum, and vibrant cultural scene.",
Istanbul,Turkey,Hagia Sophia,Relieved,Neutral,Proud,Excited,Jealous,41.0086,28.9802,60,"Istanbul, Turkey, is famous for its blend of European and Asian cultures, historic sites like Hagia Sophia, and the Bosphorus.",
Moscow,Russia,Red Square,Jealous,Neutral,Excited,Proud,Hopeful,55.7539,37.6208,80,"Moscow, Russia’s capital, is known for its iconic Red Square, Kremlin, and beautiful metro stations.",
Helsinki,Finland,Suomenlinna,Surprised,Serene,Hopeful,Happy,Culturally Connected,60.1505,24.9871,90,"Helsinki, Finland’s capital, is known for its modern architecture, design scene, and stunning waterfront.",
Toronto,Canada,CN Tower,Excited,Proud,Hopeful,Happy,Confident,43.6426,-79.3871,160,"Toronto, Canada, is a multicultural city known for the CN Tower, waterfront, and vibrant arts and food scenes.",
Prague,Czech Republic,Charles Bridge,Peaceful,Neutral,Hopeful,Proud,Historic,50.0865,14.4122,85,"Prague, Czech Republic, is famous for its medieval architecture, Charles Bridge, and historic Old Town Square.",
Zurich,Switzerland,Lake Zurich,Peaceful,Inspired,Hopeful,Happy,Proud,47.3667,8.5417,220,"Zurich, Switzerland, is known for its banking sector, beautiful lakeside views, and charming Old Town.",
